id,INDICIO,TIPO DE INDICIO,COLOR,MARCA,TALLA,OBSERVACIONES,LINK FOTO
093,43B,PANTALON,AZUL,HOLLISTER,31,DE MEZCLILLA,https://drive.google.com/file/d/1giOPbN69LlHvaoe8cwVDqf5nuGepa4lZ/view?usp=sharing
094,44B,PANTALON,AZUL,PULL&BEAR,S/D,TIPO MALLA,https://drive.google.com/file/d/1UT2Ce7h3sM68eGkGmvAS0YwPnJE65_vD/view?usp=sharing
095,45B,PANTALON,AZUL,GS INDUSTRY,28,DE MEZCLILLA,https://drive.google.com/file/d/17K0AoC8YboCP8NRQfg4cnMxODxJuSvO9/view?usp=sharing
096,46B,PANTALON,MAMEY,JOSEFINA,CHICA,TIPO DEPORTIVO,https://drive.google.com/file/d/1TX3sUM6n8d45nlMrrbsgs-0WuOW8siKv/view?usp=sharing
097,47B,PANTALON,NEGRO,FUENTE AMOR SPORT,GRANDE,TIPO PANTS,https://drive.google.com/file/d/18-cJR7JNn0wN61167gmn6zMctFFYdlO_/view?usp=sharing
098,48B,PANTALON,NEGRO,HOLLISTER,MEDIANA,TIPO DEPORTIVO,https://drive.google.com/file/d/1RUu4dAr5V25l0YRUbUktS8Z9pUJb4Oo-/view?usp=sharing
099,49B,PANTALON,AZUL,DIAEGO,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1mITgq2JCC091OLej6NIlbMFN211KY8VG/view?usp=sharing
100,50B,PANTALON,NEGRO,ADIDAS,S/D,TIPO PANTS,https://drive.google.com/file/d/1hzv6gsEHlh4767g9uwmAULTmpZ04XNtK/view?usp=sharing
101,1C,PANTALON,NEGRO,CUIDADO CON EL PERRO,EXTRA CHICA,TIPO DEPORTIVO,https://drive.google.com/file/d/19KVIeByJ3HxkRym0JMP_3-rdU3TCjWAp/view?usp=sharing
102,2C,PANTALON,NEGRO,CHEYENE JEANS,S/D,DE MEZCLILLA,https://drive.google.com/file/d/1kPYLPC5z9-oU-hqUNKLLBGHYT6UjVHK2/view?usp=sharing
